2
127 127
3 53 0.04173
3 54 -0.0250818
3 55 0.0408304
3 56 0.0855805
3 57 -0.194505
3 58 0.0198047
3 59 -0.0304488
3 60 0.106823
3 61 -0.17145
3 62 0.126005
3 63 -0.0359022
3 64 0.0707247
3 65 0.117722
3 66 0.0180389
3 67 -0.0786804
3 68 0.158889
3 69 0.109693
3 70 -0.128169
3 71 -0.155756
3 72 0.0393133
3 73 -0.0453279
3 74 -0.131133
3 75 0.088633
3 76 -0.112676
3 77 -0.157896
3 78 0.103197
3 79 0.0118934
3 80 0.0617002
3 81 -0.0778409
3 82 0.0360222
3 83 -0.15837
3 84 0.171428
3 85 -0.134998
3 86 -0.0116251
3 87 -0.0520071
3 88 0.0497027
3 89 -0.194113
3 90 0.0398951
3 91 -0.0971062
3 92 -0.21771
3 93 0.137854
3 94 -0.120811
3 95 -0.0166407
3 96 0.0924255
3 97 0.047983
3 98 -0.060788
3 99 0.26575
3 100 0.0501574
3 101 -0.0314484
3 102 0.0418535
3 103 -0.00282536
3 104 0.108225
3 105 0.0435836
3 106 0.0619869
3 107 0.0867181
3 108 -0.0711246
3 109 -0.0740033
3 110 0.0223664
3 111 0.0184796
3 112 0.109563
3 113 -0.141732
3 114 0.0445251
3 115 0.0528407
3 116 -0.0608529
3 117 -0.0740344
3 118 -0.081334
3 119 0.23156
3 120 0.169833
3 121 0.0334989
3 122 -0.0361653
3 123 0.229787
3 124 -0.201716
3 125 -0.0503398
3 126 -0.0570679
4 0 0.171951
4 1 0.00353135
4 2 -0.0107326
4 3 0.0729316
4 4 0.0447241
4 5 -0.00406148
4 6 -0.0768646
4 7 -0.161278
4 8 -0.120926
4 9 0.151735
4 10 -0.125857
4 11 0.0873667
4 12 0.105742
4 13 -0.00568512
4 14 -0.0543594
4 15 0.17714
4 16 -0.0301756
4 17 0.02802
4 18 -0.0131047
4 19 -0.0910782
4 20 -0.29584
4 21 -0.217611
4 22 0.0577971
4 23 0.195139
4 24 -0.0253967
4 25 0.0391631
4 26 -0.0639283
4 27 -0.0484164
4 28 -0.113168
4 29 0.17762
4 30 -0.0521516
4 31 -0.0799945
4 32 0.280675
4 33 -0.184351
4 34 0.14505
4 35 -0.07813
4 36 0.131502
4 37 0.101804
4 38 0.0894794
4 39 -0.132522
4 40 0.0673651
4 41 -0.0997191
4 42 0.0566655
4 43 0.02081
4 44 -0.0208631
4 45 -0.180666
4 46 0.0393994
4 47 -0.0272121
4 48 -0.105913
4 49 -0.231949
4 50 -0.0303692
4 51 0.187934
4 52 0.0538713
4 53 0.0930858
4 54 0.026572
4 55 0.0924057
4 56 0.052888
4 57 -0.151081
4 58 0.152204
4 59 0.194939
4 60 0.0304017
4 61 -0.113668
4 62 0.213175
4 63 -0.0610791
4 64 0.0735578
4 65 -0.020917
4 66 0.0349359
4 67 0.0684947
4 68 0.229365
4 69 0.196068
4 70 -0.066155
4 71 -0.047248
4 72 0.038964
4 73 -0.144828
4 74 -0.0808529
4 75 0.103415
4 76 -0.0987878
4 77 0.105593
4 78 0.148914
4 79 0.113872
4 80 0.104801
4 81 -0.14555
4 82 -0.10076
4 83 -0.147395
4 84 0.130363
4 85 -0.0252798
